Reference, Value, Footprint, Datasheet, Digikey
B1,PLAY/STOP,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND
B2,EQ,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND
B3,VOL,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND
B4,FFD/>>,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND
B5,FFW/<<,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND
B6,MENU,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND
BT1,LI-3.6V,footprints:JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight,,455-1734-2-ND
C1,1uF,footprints:C_0603,,399-3118-1-ND
C10,0.1uF,footprints:C_0603,,399-1095-1-ND
C11,1uF,footprints:C_0603,,399-3118-1-ND
C12,0.1uF,footprints:C_0603,,399-1095-1-ND
C13,8pF,footprints:C_0603,,445-1272-1-ND
C14,8pF,footprints:C_0603,,445-1272-1-ND
C15,0.1uF,footprints:C_0603,,399-1095-1-ND
C16,0.1uF,footprints:C_0603,,399-1095-1-ND
C17,0.1uF,footprints:C_0603,,399-1095-1-ND
C18,0.1uF,footprints:C_0603,,399-1095-1-ND
C19,1uF,footprints:C_0603,,399-3118-1-ND
C2,0.1uF,footprints:C_0603,,399-1095-1-ND
C20,22uF,footprints:CP_Elec_4x4.5,,PCE3857CT-ND
C21,0.1uF,footprints:C_0603,,399-1095-1-ND
C22,10nF,footprints:C_0603,,478-1227-1-ND
C23,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C24,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C25,30pF,footprints:C_0603,,1276-1021-1-ND
C26,0.1uF,footprints:C_0603,,399-1095-1-ND
C27,0.1uF,footprints:C_0603,,399-1095-1-ND
C28,1uF,footprints:C_0603,,399-3118-1-ND
C29,0.1uF,footprints:C_0603,,399-1095-1-ND
C3,0.1uF,footprints:C_0603,,399-1095-1-ND
C30,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C31,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C32,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C33,10nF,footprints:C_0603,,478-1227-1-ND
C34,0.1uF,footprints:C_0603,,399-1095-1-ND
C35,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C36,0.1uF,footprints:C_0603,,399-1095-1-ND
C37,0.1uF,footprints:C_0603,,399-1095-1-ND
C38,0.1uF,footprints:C_0603,,399-1095-1-ND
C39,47nF,footprints:C_0603,,399-9096-1-ND
C4,10nF,footprints:C_0603,,478-1227-1-ND
C40,47nF,footprints:C_0603,,399-9096-1-ND
C41,0.1uF,footprints:C_0603,,399-1095-1-ND
C42,0.1uF,footprints:C_0603,,399-1095-1-ND
C43,0.1uF,footprints:C_0603,,399-1095-1-ND
C44,0.1uF,footprints:C_0603,,399-1095-1-ND
C45,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND
C46,0.1uF,footprints:C_0603,,399-1095-1-ND
C47,10uF,footprints:C_0603,,PCE3878CT-ND
C5,22uF,footprints:CP_Elec_4x4.5,,PCE3857CT-ND
C6,22uF,footprints:CP_Elec_4x4.5,,PCE3857CT-ND
C7,10nF,footprints:C_0603,,478-1227-1-ND
C8,0.1uF,footprints:C_0603,,399-1095-1-ND
C9,0.1uF,footprints:C_0603,,399-1095-1-ND
D1,1N5819,footprints:D_SOD-123,,1N5819HW-FDICT-ND
D2,1N4148,footprints:D_SOD-123,,1N4148W-FDIDKR-ND
J1,CONN USB MICRO B,footprints:USB_Mini-B,,609-4700-2-ND
