Reference, Value, Footprint, Datasheet, Digikey,Quantity,,1276-1021-1-ND,1,,
B1,PLAY/STOP,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND,1,,1N4148W-FDIDKR-ND,1,,
B2,EQ,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND,1,,1N5819HW-FDICT-ND,1,,
B3,VOL,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND,1,,308-1527-1-ND,1,,
B4,FFD/>>,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND,1,,311-10KDCT-ND,7,,
B5,FFW/<<,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND,1,,360-2596-1-ND,6,,
B6,MENU,footprints:SW_HP0315AFKP4-R,SKHLAAA010,360-2596-1-ND,1,,360-2924-1-ND,1,,
BT1,LI-3.6V,footprints:JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight,,455-1734-2-ND,1,,399-1095-1-ND,23,,
C1,1uF,footprints:C_0603,,399-3118-1-ND,1,,399-3118-1-ND,4,,
C10,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,399-9096-1-ND,2,,
C11,1uF,footprints:C_0603,,399-3118-1-ND,1,,445-1272-1-ND,2,,
C12,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,455-1734-2-ND,1,,
C13,8pF,footprints:C_0603,,445-1272-1-ND,1,,478-1227-1-ND,4,,
C14,8pF,footprints:C_0603,,445-1272-1-ND,1,,490-14398-2-ND,7,,
C15,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,535-10233-1-ND,1,,
C16,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,587-3064-1-ND,2,,
C17,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,609-3956-1-ND,1,,
C18,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,609-4700-2-ND,1,,
C19,1uF,footprints:C_0603,,399-3118-1-ND,1,,A103049TR-ND,2,,
C2,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,A119955TR-ND,4,,
C20,22uF,footprints:CP_Elec_4x4.5,,PCE3857CT-ND,1,,A119962CT-ND,1,,
C21,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,AP2210N-3.3TRG1DICT-ND,1,,
C22,10nF,footprints:C_0603,,478-1227-1-ND,1,,MCT0603-33.0-CFCT-ND,4,,
C23,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND,1,,P12KDBCT-ND,1,,
C24,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND,1,,P150KDBCT-ND,1,,
C25,30pF,footprints:C_0603,,1276-1021-1-ND,1,,P4.7KDBCT-ND,1,,
C26,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,P47KDBCT-ND,8,,
C27,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,P56KDBCT-ND,1,,
C28,1uF,footprints:C_0603,,399-3118-1-ND,1,,PCE3857CT-ND,11,,
C29,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,RR08P1.0KDCT-ND,1,,
C3,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,RR08P100KDCT-ND,8,,
C30,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND,1,,RR08P220KDCT-ND,1,,
C31,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND,1,,WM13342-ND,1,,
C32,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND,1,,,112,,
C33,10nF,footprints:C_0603,,478-1227-1-ND,1,,,,,
C34,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
C35,10uF,footprints:CP_Elec_4x4.5,,PCE3878CT-ND,1,,,,,
C36,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
C37,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
C38,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
C39,47nF,footprints:C_0603,,399-9096-1-ND,1,,,,,
C4,10nF,footprints:C_0603,,478-1227-1-ND,1,,,,,
C40,47nF,footprints:C_0603,,399-9096-1-ND,1,,,,,
C41,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
C42,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
C43,0.1uF,footprints:C_0603,,399-1095-1-ND,1,,,,,
