Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price SGD,Extended Price SGD,
1,3,1N4148W-FDIDKR-ND,DIODE GEN PURP 100V 300MA SOD123,,3,0,3.60333,10.81,
2,3,1N5819HW-FDICT-ND,DIODE SCHOTTKY 40V 1A SOD123,,3,0,0.73000,2.19,
3,3,308-1527-1-ND,FIXED IND 4.7UH 1.15A 108.7 MOHM,,3,0,1.50000,4.50,
4,14,311-10KDCT-ND,RES SMD 10K OHM 0.5% 1/10W 0603,,14,0,0.16800,2.35,
5,10,360-2596-1-ND,SWITCH TACTILE SPST-NO 0.4VA 28V,,10,0,2.20500,22.05,
6,2,360-2924-1-ND,SWITCH SLIDE SPDT 0.4VA 28V,,2,0,4.95000,9.90,
7,10,399-3118-1-ND,CAP CER 1UF 10V X5R 0603,,10,0,0.07300,0.73,
8,5,399-9096-1-ND,CAP CER 0.047UF 100V X7R 0603,,5,0,0.52000,2.60,
9,3,535-10233-1-ND,CRYSTAL 24.0000MHZ 18PF SMD,,3,0,0.53000,1.59,
10,5,587-3064-1-ND,FIXED IND 10UH 900MA 172.9 MOHM,,5,0,0.39000,1.95,
11,2,609-3956-1-ND,CONN SD CARD PUSH-PUSH SMD,,2,0,4.20000,8.40,
12,5,A119962CT-ND,RES SMD 390K OHM 0.1% 1/16W 0603,,5,0,0.97000,4.85,
13,5,AP2210N-3.3TRG1DICT-ND,IC REG LINEAR 3.3V 300MA SOT23-3,,5,0,0.62000,3.10,
14,10,MCT0603-33.0-CFCT-ND,RES SMD 33 OHM 1% 1/8W 0603,,10,0,0.34000,3.40,
15,5,P12KDBCT-ND,RES SMD 12K OHM 0.1% 1/10W 0603,,5,0,0.52000,2.60,
16,5,P150KDBCT-ND,RES SMD 150K OHM 0.1% 1/10W 0603,,5,0,0.52000,2.60,
17,5,P4.7KDBCT-ND,RES SMD 4.7K OHM 0.1% 1/10W 0603,,5,0,0.52000,2.60,
18,5,P56KDBCT-ND,RES SMD 56K OHM 0.1% 1/10W 0603,,5,0,0.52000,2.60,
19,11,PCE3857CT-ND,CAP ALUM 22UF 20% 6.3V SMD,,11,0,0.31000,3.41,
20,5,RR08P1.0KDCT-ND,RES SMD 1K OHM 0.5% 1/16W 0603,,5,0,0.16000,0.80,
21,20,RR08P100KDCT-ND,RES SMD 100K OHM 0.5% 1/16W 0603,,20,0,0.14600,2.92,
22,5,RR08P220KDCT-ND,RES SMD 220K OHM 0.5% 1/16W 0603,,5,0,0.16000,0.80,
23,1,WM13342-ND,CABLE FFC 40POS 0.50MM 5",,1,0,6.52000,6.52,
24,3,455-1734-1-ND,CONN HEADER PH TOP 2POS 2MM SMD,,3,0,0.82000,2.46,
25,30,478-1227-1-ND,CAP CER 10000PF 50V X7R 0603,,30,0,0.03300,0.99,
26,20,490-14398-1-ND,600OHM 25% 1.3A DCR=0.15OHM 0603,,20,0,0.12000,2.40,
27,3,609-4700-1-ND,CONN MINI USB RCPT RA TYPE B SMD,,3,0,1.05000,3.15,
28,5,A103049CT-ND,RES SMD 16 OHM 0.1% 1/16W 0603,,5,0,1.01000,5.05,
29,10,A119955CT-ND,RES SMD 1M OHM 0.1% 1/16W 0603,,10,0,0.74000,7.40,
30,16,P47KDBCT-ND,RES SMD 47K OHM 0.1% 1/10W 0603,,16,0,0.44600,7.14,
31,100,399-1095-1-ND,CAP CER 0.1UF 10V X7R 0603,,100,0,0.01930,1.93,
32,10,445-1272-1-ND,CAP CER 18PF 50V C0G 0603,,10,0,0.04600,0.46,
33,100,1276-1021-1-ND,CAP CER 30PF 50V C0G/NP0 0603,,100,0,0.01980,1.98,
34,20,PCE3878CT-ND,CAP ALUM 10UF 20% 16V SMD,,20,0,0.28200,5.64,
